Date,Insertion_Order,Order_Goal_Type,Insertion_Order_Goal_Value,IO_Planned_Budget,IO_Start_Date,IO_End_Date,Advertiser_Currency,Line_Item_Name,LI_Goal,Line_Item_Type,Line_Item_Start_Date,Line_Item_End_Date,LI_Spends,Impressions,Clicks,Complete_Views_(Video)
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_All_OTT_TVC_Id_Branding_LI,83%,Real-time_bidding_(Video),4/1/2025,4/30/2025,3023.705,33901,49,30586
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_GoogleCustomAudience_SkipInstream_YT_TVC_Id_Branding_LI,65%,YouTube & partners,4/1/2025,4/30/2025,369.0011,4412,17,3487
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_GoogleCustomAudience_TFNonskip_CTV_TVC_Id_Branding_LI,80%,YouTube & partners,4/1/2025,4/30/2025,2545.012,26443,8,19409
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_GoogleCustomAudience_TFNonskip_YT_TVC_Id_Branding_LI,80%,YouTube & partners,4/1/2025,4/30/2025,15260.65,109866,956,90301
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_RMKT_All_DGen_TVC_Id_Branding_LI,6%,Demand Gen,4/1/2025,4/30/2025,989.9519,37988,1463,444
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_RMKT_TFNonskip_CTV_TVC_Id_Branding_LI,80%,YouTube & partners,4/1/2025,4/30/2025,124.3653,859,0,669
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_TVC_Id_Branding,CPM,132,731431,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_BLR_18-44_Top20HHI_RMKT_TFNonskip_YT_TVC_Id_Branding_LI,80%,YouTube & partners,4/1/2025,4/30/2025,1695.306,12441,78,10609
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_CHE_18-44_Top20HHI_TVC_Id_Branding,CPM,136,866563,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_CHE_18-44_Top20HHI_All_OTT_TVC_Id_Branding_LI,83%,Real-time bidding (Video),4/1/2025,4/30/2025,1462.484,22961,34,21307
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_CHE_18-44_Top20HHI_TVC_Id_Branding,CPM,136,866563,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_CHE_18-44_Top20HHI_GoogleCustomAudience_SkipInstream_YT_TVC_Id_Branding_LI,65%,YouTube & partners,4/1/2025,4/30/2025,1885.376,22704,88,16232
4/1/2025,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_CHE_18-44_Top20HHI_TVC_Id_Branding,CPM,136,866563,4/1/2025,4/30/2025,INR,IN_DV360_Plixlife_Female_PineappleP2_1stApr2025_CHE_18-44_Top20HHI_GoogleCustomAudience_TFNonskip_CTV_TVC_Id_Branding_LI,80%,YouTube & partners,4/1/2025,4/30/2025,3576.664,39417,12,28810
